Imiona,Nazwiska,Pesele,ID kontrolerow,Maile,Lotniska - wczesniejsza praca,Od_kiedy_pracuje,Zarobki ostatniego polrocza
DAMIAN,PIETRZAK,83062951433,CID00034,pietrzakdamian@gmail.com,1,2013-11-09,70194
RYSZARD,WRÓBEL,87012535511,CID00035,wróbelryszard@gmail.com,0,2014-10-29,59004
JAKUB,GRABOWSKI,97083126974,CID00036,grabowskijakub@gmail.com,0,2020-04-26,54000
ŁUKASZ,WIECZOREK,92050649294,CID00037,wieczorekłukasz@gmail.com,1,2020-09-22,60000
RYSZARD,PIOTROWSKI,86062535656,CID00038,piotrowskiryszard@gmail.com,0,2013-10-21,62550
KAZIMIERZ,STĘPIEŃ,80012073371,CID00039,stępieńkazimierz@gmail.com,0,2007-03-18,64464
TOMASZ,JAWORSKI,97041876358,CID00040,jaworskitomasz@gmail.com,1,2021-02-05,57000
RAFAŁ,SZEWCZYK,80120898817,CID00041,szewczykrafał@gmail.com,0,2009-12-02,63192
ALEKSANDER,WIECZOREK,85032963798,CID00042,wieczorekaleksander@gmail.com,0,2014-11-18,57288
JÓZEF,OLSZEWSKI,82110559634,CID00043,olszewskijózef@gmail.com,0,2008-07-01,66996
RYSZARD,PAWŁOWSKI,82082287274,CID00044,pawłowskiryszard@gmail.com,2,2015-04-17,70014
ANTONI,OSTROWSKI,820731343910,CID00045,ostrowskiantoni@gmail.com,1,2018-08-03,61800
JUSTYNA,KOZŁOWSKA,91062768328,CID00046,kozłowskajustyna@gmail.com,0,2015-03-02,57288
PAWEŁ,PIETRZAK,90013080997,CID00047,pietrzakpaweł@gmail.com,0,2014-12-13,57288
ANDRZEJ,MALINOWSKI,87082775477,CID00048,malinowskiandrzej@gmail.com,1,2013-06-04,68184
WOJCIECH,SZEWCZYK,83100431455,CID00049,szewczykwojciech@gmail.com,0,2009-05-01,62592
RENATA,ADAMCZYK,85070764487,CID00050,adamczykrenata@gmail.com,2,2011-03-28,77250
FILIP,PIETRZAK,88060473334,CID00051,pietrzakfilip@gmail.com,0,2013-07-23,60774
MATEUSZ,LEWANDOWSKI,88012556256,CID00052,lewandowskimateusz@gmail.com,2,2017-12-29,69300
MAREK,OLSZEWSKI,92080217472,CID00053,olszewskimarek@gmail.com,0,2017-04-22,57288
MARCIN,ZALEWSKI,84111828133,CID00054,zalewskimarcin@gmail.com,1,2011-04-30,71586
PATRYK,KAMIŃSKI,89040730854,CID00055,kamińskipatryk@gmail.com,0,2013-10-23,61950
RYSZARD,MALINOWSKI,95062625195,CID00056,malinowskiryszard@gmail.com,1,2021-01-11,0
ŁUKASZ,WIŚNIEWSKI,94040646539,CID00057,wiśniewskiłukasz@gmail.com,1,2020-09-07,60000
DANIEL,OSTROWSKI,89101947238,CID00058,ostrowskidaniel@gmail.com,1,2021-01-10,60000
KRZYSZTOF,LEWANDOWSKI,85032112253,CID00059,lewandowskikrzysztof@gmail.com,1,2019-01-17,61800
MACIEJ,ZAJĄC,97112241573,CID00060,zającmaciej@gmail.com,1,2021-08-10,57000
DARIUSZ,ZIELIŃSKI,86092725339,CID00061,zielińskidariusz@gmail.com,0,2015-06-12,58398
SEBASTIAN,ZALEWSKI,87081029515,CID00062,zalewskisebastian@gmail.com,0,2012-10-13,60774
TOMASZ,WÓJCIK,80042968737,CID00063,wójciktomasz@gmail.com,1,2021-11-01,60000
WOJCIECH,KWIATKOWSKI,85092487959,CID00064,kwiatkowskiwojciech@gmail.com,2,2019-02-27,67980
ROBERT,WOŹNIAK,84101811194,CID00065,woźniakrobert@gmail.com,0,2011-10-17,63798
MARIUSZ,DUDA,81052086132,CID00066,dudamariusz@gmail.com,1,2010-12-21,70896
MACIEJ,KWIATKOWSKI,81050433875,CID00067,kwiatkowskimaciej@gmail.com,1,2007-02-24,72324
ANDRZEJ,LEWANDOWSKI,84021837973,CID00068,lewandowskiandrzej@gmail.com,0,2008-01-08,65082
STANISŁAW,PIOTROWSKI,83092851293,CID00069,piotrowskistanisław@gmail.com,0,2016-03-13,57840
RAFAŁ,KACZMAREK,82022347471,CID00070,kaczmarekrafał@gmail.com,0,2005-09-21,65082
IWONA,WIŚNIEWSKA,92052796628,CID00071,wiśniewskaiwona@gmail.com,1,2019-06-19,61800
PAWEŁ,SIKORA,95051040019,CID00072,sikorapaweł@gmail.com,1,2021-04-14,0
JUSTYNA,JAWORSKA,860113146210,CID00073,jaworskajustyna@gmail.com,0,2010-04-11,62592
MAREK,MALINOWSKI,91042065355,CID00074,malinowskimarek@gmail.com,1,2020-05-24,60000
SEBASTIAN,TOMASZEWSKI,94080532218,CID00075,tomaszewskisebastian@gmail.com,0,2019-06-18,55620
MACIEJ,PIETRZAK,95030499652,CID00076,pietrzakmaciej@gmail.com,0,2018-05-08,0
MATEUSZ,KOZŁOWSKI,95121446792,CID00077,kozłowskimateusz@gmail.com,0,2021-06-20,0
JAROSŁAW,WRÓBEL,96052563576,CID00078,wróbeljarosław@gmail.com,0,2018-01-17,55620
ALEKSANDER,NOWICKI,85111811536,CID00079,nowickialeksander@gmail.com,0,2014-10-02,60150
RAFAŁ,JANKOWSKI,890415130310,CID00080,jankowskirafał@gmail.com,1,2017-03-27,63654
KRZYSZTOF,PIETRZAK,82110269513,CID00081,pietrzakkrzysztof@gmail.com,0,2020-04-23,54000
MICHAŁ,ZALEWSKI,85011981975,CID00082,zalewskimichał@gmail.com,2,2018-03-21,67980
MACIEJ,SZYMAŃSKI,91071681391,CID00083,szymańskimaciej1@gmail.com,0,2018-01-07,55620
MAREK,KOWALSKI,89011083514,CID00084,kowalskimarek@gmail.com,0,2011-01-30,62592
ALEKSANDER,JANKOWSKI,91071469795,CID00085,jankowskialeksander@gmail.com,0,2014-08-12,59574
JAKUB,TOMASZEWSKI,960524393310,CID00086,tomaszewskijakub@gmail.com,0,2021-01-27,54000
MATEUSZ,OLSZEWSKI,92052561538,CID00087,olszewskimateusz@gmail.com,2,2020-02-23,66000
JANINA,KWIATKOWSKA,95031424549,CID00088,kwiatkowskajanina@gmail.com,0,2017-03-29,0
PRZEMYSŁAW,MAZUR,88122323872,CID00089,mazurprzemysław@gmail.com,0,2018-03-26,55620
KAROL,WÓJCIK,92031449433,CID00090,wójcikkarol@gmail.com,0,2015-09-06,57288
KAMIL,OSTROWSKI,88022492517,CID00091,ostrowskikamil1@gmail.com,1,2021-05-15,60000
ANTONI,TOMASZEWSKI,95122377534,CID00092,tomaszewskiantoni@gmail.com,1,2021-04-16,0
GRZEGORZ,MAZUR,96040745515,CID00093,mazurgrzegorz@gmail.com,2,2019-11-30,57000
BARTOSZ,NOWAKOWSKI,97072252716,CID00094,nowakowskibartosz@gmail.com,0,2021-03-20,54000
KAZIMIERZ,KOWALCZYK,81072947617,CID00095,kowalczykkazimierz@gmail.com,1,2014-08-13,66198
RAFAŁ,PAWŁOWSKI,90101974995,CID00096,pawłowskirafał@gmail.com,1,2020-12-06,60000
TOMASZ,NOWAKOWSKI,88120263312,CID00097,nowakowskitomasz@gmail.com,0,2016-07-16,57840
WERONIKA,ZALEWSKA,93070964868,CID00098,zalewskaweronika@gmail.com,0,2019-08-10,55620
KAMIL,KWIATKOWSKI,86122991817,CID00099,kwiatkowskikamil@gmail.com,1,2012-02-22,67524
JANUSZ,KRAWCZYK,89061411378,CID00000,krawczykjanusz@gmail.com,0,2022-08-09,54000
ROMAN,GÓRSKI,90011920413,CID00001,górskiroman@gmail.com,0,2021-12-25,54000
MARCIN,JABŁOŃSKI,94031886199,CID00002,jabłońskimarcin@gmail.com,0,2022-06-10,54000
WOJCIECH,PAWLAK,83020588576,CID00003,pawlakwojciech@gmail.com,1,2022-01-14,60000
MIROSŁAW,WRÓBEL,900702339510,CID00004,wróbelmirosław@gmail.com,0,2022-05-27,54000
JANUSZ,WÓJCIK,80022938477,CID00005,wójcikjanusz@gmail.com,0,2022-06-22,54000
GRZEGORZ,GRABOWSKI,83061556875,CID00006,grabowskigrzegorz@gmail.com,0,2022-10-03,54000
KAZIMIERZ,JANKOWSKI,860212480310,CID00007,jankowskikazimierz@gmail.com,0,2022-06-14,54000
ROMAN,TOMASZEWSKI,85111739816,CID00008,tomaszewskiroman@gmail.com,2,2022-10-04,66000
FILIP,WÓJCIK,84082937654,CID00009,wójcikfilip@gmail.com,1,2022-01-17,60000
ANDRZEJ,NOWAKOWSKI,97121452696,CID00010,nowakowskiandrzej@gmail.com,0,2022-05-27,54000
PRZEMYSŁAW,DĄBROWSKI,94100366557,CID00011,dąbrowskiprzemysław@gmail.com,0,2022-06-25,54000
KACPER,DUDA,81071999813,CID00012,dudakacper@gmail.com,1,2022-07-21,60000
WERONIKA,KRÓL,85090713285,CID00013,królweronika@gmail.com,0,2022-04-25,54000
JAN,KOWALCZYK,92063081638,CID00014,kowalczykjan@gmail.com,0,2022-02-11,54000
DANIEL,PAWLAK,96032761972,CID00015,pawlakdaniel@gmail.com,1,2022-08-07,57000
RYSZARD,DUDEK,820222698310,CID00016,dudekryszard@gmail.com,0,2021-12-09,54000
PIOTR,DUDEK,87110777774,CID00017,dudekpiotr@gmail.com,0,2022-05-22,54000
KRZYSZTOF,ADAMCZYK,84021665211,CID00018,adamczykkrzysztof@gmail.com,0,2022-02-18,54000
MIROSŁAW,WALCZAK,89051086559,CID00019,walczakmirosław@gmail.com,0,2022-03-31,54000
